         # time  113  1 113  1  113  2 113  2  114  1 114  1  114  2 114  2
   0.00000E+000   0.46463E+003   0.46522E+003   0.46172E+003   0.46379E+003
   0.11662E-001   0.45139E+003   0.45196E+003   0.44853E+003   0.45048E+003
   0.23324E-001   0.41507E+003   0.41557E+003   0.41234E+003   0.41396E+003
   0.34986E-001   0.36408E+003   0.36449E+003   0.36154E+003   0.36270E+003
   0.46647E-001   0.30801E+003   0.30833E+003   0.30569E+003   0.30635E+003
   0.58309E-001   0.25445E+003   0.25468E+003   0.25231E+003   0.25253E+003
   0.69971E-001   0.20771E+003   0.20785E+003   0.20574E+003   0.20558E+003
   0.81633E-001   0.16926E+003   0.16931E+003   0.16742E+003   0.16696E+003
   0.93295E-001   0.13871E+003   0.13868E+003   0.13700E+003   0.13630E+003
   0.10496E+000   0.11484E+003   0.11477E+003   0.11329E+003   0.11238E+003
   0.11662E+000   0.96247E+002   0.96183E+002   0.94869E+002   0.93797E+002
   0.12828E+000   0.81641E+002   0.81680E+002   0.80451E+002   0.79276E+002
   0.13994E+000   0.69976E+002   0.70230E+002   0.68973E+002   0.67766E+002
   0.15160E+000   0.60432E+002   0.61008E+002   0.59601E+002   0.58433E+002
   0.16327E+000   0.52369E+002   0.53340E+002   0.51686E+002   0.50620E+002
   0.17493E+000   0.45294E+002   0.46682E+002   0.44728E+002   0.43823E+002
   0.18659E+000   0.38850E+002   0.40620E+002   0.38363E+002   0.37686E+002
   0.19825E+000   0.32826E+002   0.34895E+002   0.32372E+002   0.31991E+002
   0.20991E+000   0.27156E+002   0.29400E+002   0.26671E+002   0.26659E+002
   0.22158E+000   0.21895E+002   0.24164E+002   0.21301E+002   0.21725E+002
   0.23324E+000   0.17167E+002   0.19299E+002   0.16379E+002   0.17295E+002
   0.24490E+000   0.13110E+002   0.14946E+002   0.12050E+002   0.13495E+002
   0.25656E+000   0.98253E+001   0.11236E+002   0.84348E+001   0.10417E+002
   0.26822E+000   0.73484E+001   0.82585E+001   0.56060E+001   0.80835E+001
   0.27988E+000   0.56422E+001   0.60494E+001   0.35688E+001   0.64450E+001
   0.29155E+000   0.46042E+001   0.45813E+001   0.22659E+001   0.53927E+001
   0.30321E+000   0.40870E+001   0.37607E+001   0.15881E+001   0.47865E+001
   0.31487E+000   0.39229E+001   0.34354E+001   0.13919E+001   0.44822E+001
   0.32653E+000   0.39462E+001   0.34170E+001   0.15179E+001   0.43477E+001
   0.33819E+000   0.40091E+001   0.35146E+001   0.18085E+001   0.42651E+001
   0.34986E+000   0.39936E+001   0.35668E+001   0.21217E+001   0.41289E+001
   0.36152E+000   0.38222E+001   0.34603E+001   0.23415E+001   0.38510E+001
   0.37318E+000   0.34661E+001   0.31344E+001   0.23877E+001   0.33748E+001
   0.38484E+000   0.29441E+001   0.25772E+001   0.22240E+001   0.26911E+001
   0.39650E+000   0.23092E+001   0.18215E+001   0.18619E+001   0.18422E+001
   0.40817E+000   0.16276E+001   0.93868E+000   0.13550E+001   0.91143E+000
   0.41983E+000   0.96173E+000   0.26988E-001   0.78382E+000  -0.32310E-003
   0.43149E+000   0.36150E+000  -0.81137E+000   0.23507E+000  -0.80004E+000
   0.44315E+000  -0.13765E+000  -0.14970E+001  -0.21733E+000  -0.14204E+001
   0.45481E+000  -0.51564E+000  -0.19942E+001  -0.52403E+000  -0.18262E+001
   0.46647E+000  -0.76888E+000  -0.23155E+001  -0.66578E+000  -0.20136E+001
   0.47814E+000  -0.91162E+000  -0.25061E+001  -0.65438E+000  -0.20058E+001
   0.48980E+000  -0.97571E+000  -0.26195E+001  -0.52966E+000  -0.18474E+001
   0.50146E+000  -0.10055E+001  -0.26998E+001  -0.35244E+000  -0.15957E+001
   0.51312E+000  -0.10459E+001  -0.27773E+001  -0.19326E+000  -0.13109E+001
   0.52478E+000  -0.11282E+001  -0.28740E+001  -0.11797E+000  -0.10474E+001
   0.53645E+000  -0.12617E+001  -0.30058E+001  -0.17294E+000  -0.84757E+000
   0.54811E+000  -0.14366E+001  -0.31813E+001  -0.37436E+000  -0.73816E+000
   0.55977E+000  -0.16342E+001  -0.34001E+001  -0.70564E+000  -0.72775E+000
   0.57143E+000  -0.18379E+001  -0.36536E+001  -0.11233E+001  -0.80402E+000
   0.58309E+000  -0.20374E+001  -0.39287E+001  -0.15686E+001  -0.93391E+000
   0.59476E+000  -0.22275E+001  -0.42074E+001  -0.19811E+001  -0.10706E+001
